onset	duration	stimuli	trial_type	response	time_before_starting_to_answer
0.0019921999992220663	1.0000081000034697	Cross	Fixation	None	None
1.0073855000009644	2.158571599997231	grøn_yellow	Stimuli	None/pas reconnu	1.157437641723356
3.2660021999981836	1.000008600000001	Cross	Fixation	None	None
4.270035499997903	2.1544928000002983	rød_blue	Stimuli	noir	0.6387301587301587
6.498621799997636	1.0000085000065155	Cross	Fixation	None	None
7.503666399999929	2.15378029999556	gul_red	Stimuli	None/pas reconnu	0.428140589569161
9.69484470000316	1.0000084999992396	Cross	Fixation	None	None
10.700187700000242	2.154525799996918	blå_white	Stimuli	blanc	0.3955328798185941
12.897765300003812	1.000007700000424	Cross	Fixation	None	None
13.903455899999244	2.1566479000030085	hvid_green	Stimuli	verre	0.4390702947845805
