block_type	word	response	response_time
friend	efficace	['1']	0.6886720000038622
friend	grande-gueule	['2']	0.5623036000033608
friend	querelleur	['3']	0.2375469999969937
friend	tolérant	['1']	0.42570680000062566
friend	irresponsable	['4']	0.6493673000077251
syllabe	maladroit	['2']	0.00011690000246744603
syllabe	gentil	['1']	0.27412139999796636
syllabe	chaleureux	['3']	0.19239630000083707
syllabe	hypersensible	['4']	0.23145859999931417
syllabe	possessif	['4']	0.7339112999907229
syllabe	dominateur	['2']	0.00011480000102892518
syllabe	irresponsable	['3']	0.27638219999789726
syllabe	curieux	['1']	0.23921400000108406
syllabe	sociable	None	None
syllabe	fiable	['4']	0.43600030000379775
