onset	duration	trial_type
0.021677100005035754	1.000010600000678	:; $+
1.0275883000067552	1.0000089000022854	 #^=-
2.0312794000055874	1.0000084999992396	:?$µ
3.0347973000025377	1.000010800002201	###
4.0389780000041355	1.0000097999945865	pomme
5.0432916000063415	1.0000069000016083	poire
6.047572900002706	1.0000099999961094	abricot
7.054011200001696	1.000010800002201	mon_test
8.058027400002175	1.000010800002201	:; $+
9.062895500006562	1.0000089000022854	 #^=-
10.066522400004033	1.000009900002624	:?$µ
11.071071800004574	1.0000121999983094	###
